skin_name,mean_price_usd,mean_pct_change,volatility,mean_deviation,spike_count,min_price_3day,risky_label,risk_score_SVM,safe_price_usd_SVM,safe_price_usd_ML
'Blueberries' Buckshot | NSWC SEAL,19.006666666666668,0.0057312627671102,0.0853093604139169,0.0072399201522595,0,13.0,0,0,19.006666666666668,13.0
'Medium Rare' Crasswater | Guerrilla Warfare,52.60666666666667,0.0048635652891616,0.0810604977741572,0.0062340180314022,0,33.0,0,0,52.60666666666667,33.0
'The Doctor' Romanov | Sabre,16.386666666666667,0.0055334472067373,0.0792065419579258,0.0088737700851457,0,12.0,0,0,16.386666666666667,12.0
'Two Times' McCoy | TACP Cavalry,11.4,0.0091937663084294,0.1016269450282375,0.0142785795669624,0,10.0,0,0,11.4,10.0
'Two Times' McCoy | USAF TACP,10.666666666666666,0.0095609417283908,0.1000848124210515,0.016114494739824,0,10.0,0,0,10.666666666666666,10.0
10 Year Birthday Sticker Capsule,0.0,,,,0,0.0,0,0,0.0,0.0
1st Lieutenant Farlow | SWAT,12.726666666666668,0.0063035471834067,0.0920997751180672,0.0068538257529517,0,9.0,0,0,12.726666666666668,9.0
2020 RMR Challengers,0.0,,,,0,0.0,0,0,0.0,0.0
2020 RMR Contenders,0.0,,,,0,0.0,0,0,0.0,0.0
2020 RMR Legends,0.0,,,,0,0.0,0,0,0.0,0.0
2021 Community Sticker Capsule,0.0,,,,0,0.0,0,0,0.0,0.0
3rd Commando Company | KSK,14.706666666666669,0.0048426682764973,0.0766871738387052,0.0063021423282233,0,11.0,0,0,14.706666666666669,11.0
AK-47 | Aquamarine Revenge (Battle-Scarred),27.15333333333333,0.0018073542110876,0.0445840732287723,-6.891677756434659e-06,0,26.0,0,0,27.15333333333333,26.0
AK-47 | Aquamarine Revenge (Factory New),239.1266666666667,0.0052083363599148,0.063973930217668,0.0074281034965822,0,204.0,0,0,239.1266666666667,204.0
AK-47 | Aquamarine Revenge (Field-Tested),36.38666666666666,0.0003918728817174,0.0343745222571191,-0.0009578446575233,0,32.0,0,0,36.38666666666666,32.0
AK-47 | Aquamarine Revenge (Minimal Wear),77.86666666666666,-0.0005954186663918,0.0456434172550504,-0.0060359012454866,0,56.0,0,0,77.86666666666666,56.0
AK-47 | Aquamarine Revenge (Well-Worn),27.36,0.0002685496568253,0.0389774222405191,-0.0008002490951682,0,27.0,0,0,27.36,27.0
AK-47 | Asiimov (Battle-Scarred),27.52,-0.0003303542658978,0.0267809742494173,-0.0017343374040129,0,27.0,0,0,27.52,27.0
AK-47 | Asiimov (Factory New),298.02,0.0052437571820814,0.0632110562330157,0.0093814870868091,0,316.0,0,0,298.02,295.1674955132377
AK-47 | Asiimov (Field-Tested),28.4,1.5433236909757104e-05,0.0224066468970077,-0.0009274136192723,0,28.0,0,0,28.4,28.0
AK-47 | Asiimov (Minimal Wear),53.693333333333335,-0.0006462296712329,0.0279818819384626,-0.003562638785649,0,45.0,0,0,53.693333333333335,45.0
AK-47 | Asiimov (Well-Worn),33.65771812080537,0.0003202737815557,0.0383601878628749,-0.0008422177453781,0,34.0,0,0,33.65771812080537,32.609795830302645
AK-47 | B the Monster (Battle-Scarred),108.90666666666668,-0.0014355260935921,0.0273232966431306,-0.0057127900877531,0,89.0,0,0,108.90666666666668,89.0
AK-47 | B the Monster (Factory New),929.7,0.0036782999774858,0.0486570989330085,0.0064824367430647,0,979.0,0,0,929.7,925.1501820668759
AK-47 | B the Monster (Field-Tested),227.84666666666664,-0.0001801195250828,0.041440032198678,-0.0050467421876665,0,165.0,0,0,227.84666666666664,165.0
AK-47 | B the Monster (Minimal Wear),391.44666666666666,0.0013996265807824,0.0438981887452942,3.42611448258164e-07,0,342.0,0,0,391.44666666666666,342.0
AK-47 | B the Monster (Well-Worn),180.5533333333333,-0.000727472876178,0.0320758856822236,-0.0035609284393182,0,160.0,0,0,180.5533333333333,160.0
AK-47 | Baroque Purple (Battle-Scarred),5.402684563758389,0.0020752895752895,0.0827829156428184,-0.0026851251026144,0,5.0,0,0,5.402684563758389,5.0
AK-47 | Baroque Purple (Factory New),48.72666666666667,0.0171772414922664,0.1052519422652376,0.0376530213017415,1,88.0,0,0,48.72666666666667,47.69020538683878
AK-47 | Baroque Purple (Field-Tested),5.526666666666666,0.002572706935123,0.0867366795333062,-0.0028847118511405,0,5.0,0,0,5.526666666666666,5.0
AK-47 | Baroque Purple (Minimal Wear),8.48,0.0089382379544346,0.107679552026725,0.0098370762580639,2,10.0,0,0,8.48,8.028112724822186
AK-47 | Baroque Purple (Well-Worn),5.362416107382551,0.0026222651222651,0.0721621652128661,-0.0017081534508857,0,5.0,0,0,5.362416107382551,5.0
AK-47 | Black Laminate (Battle-Scarred),41.36363636363637,0.0002275957035674,0.0295058606602907,-0.0001672815623598,0,42.0,0,0,41.36363636363637,41.36363636363637
AK-47 | Black Laminate (Factory New),270.89629629629627,0.0047895186664963,0.1123886112424826,0.0023723149823544,2,252.0,0,0,270.89629629629627,252.0
AK-47 | Black Laminate (Field-Tested),40.26,0.0011477021428289,0.0554856246921405,-0.0006807195059665,0,39.0,0,0,40.26,39.0
AK-47 | Black Laminate (Minimal Wear),53.446666666666665,0.0034707425896595,0.0717727857894676,0.0054413279708761,0,47.0,0,0,53.446666666666665,47.0
AK-47 | Black Laminate (Well-Worn),46.09558823529412,0.0017975711696523,0.0838341383148555,-0.0005708264231456,1,42.0,0,0,46.09558823529412,42.0
AK-47 | Bloodsport (Factory New),296.2866666666667,0.0003752815110948,0.0446566687525618,-0.0025408505073685,0,195.0,0,0,296.2866666666667,195.0
AK-47 | Bloodsport (Field-Tested),164.18,-0.0015515449812444,0.0384869198656471,-0.0067237134251792,0,117.0,0,0,164.18,117.0
AK-47 | Bloodsport (Minimal Wear),196.62,-0.001210037584453,0.0385099983608775,-0.005614153046567,0,132.0,0,0,196.62,132.0
AK-47 | Bloodsport (Well-Worn),161.6,-0.0007283544308389,0.0357479162239843,-0.00373573149636,0,137.0,0,0,161.6,137.0
AK-47 | Blue Laminate (Factory New),25.53333333333333,0.0075660423077025,0.0973341501643672,0.0107143441247388,0,23.0,0,0,25.53333333333333,23.0
AK-47 | Blue Laminate (Field-Tested),12.946666666666667,0.0010710765744322,0.0471358075147455,-3.867787869209267e-05,0,13.0,0,0,12.946666666666667,12.710140620028232
AK-47 | Blue Laminate (Minimal Wear),14.14,0.000958170223863,0.0440932750142373,0.0002167187714074,0,13.0,0,0,14.14,13.0
AK-47 | Blue Laminate (Well-Worn),18.438356164383563,0.0024179975403048,0.0580742400297465,0.003269780623427,0,18.0,0,0,18.438356164383563,17.50781916258131
AK-47 | Cartel (Battle-Scarred),14.006666666666666,0.0017219730306978,0.0508268947044545,0.0004184511108147,0,14.0,0,0,14.006666666666666,14.0
AK-47 | Cartel (Factory New),77.2,0.0093791403984515,0.0949247839092887,0.0157313241236064,1,67.0,0,0,77.2,67.0
AK-47 | Cartel (Field-Tested),13.82,0.0006204366103694,0.0353538519459883,0.0001926529534389,0,14.0,0,0,13.82,12.858913373663547
AK-47 | Cartel (Minimal Wear),20.42,0.0032873749649402,0.0662549218946792,0.0030082887251021,0,19.0,0,0,20.42,19.0
AK-47 | Cartel (Well-Worn),18.897959183673468,0.0034230304177124,0.0694650462564583,0.0030402117982112,0,15.0,0,0,18.897959183673468,15.0
AK-47 | Case Hardened (Battle-Scarred),184.9933333333333,0.0007661771420169,0.0461694447565588,-0.0011276899257762,0,168.0,0,0,184.9933333333333,168.0
AK-47 | Case Hardened (Factory New),414.2466666666666,0.0040655412692546,0.0630024755900067,0.0065758074093766,0,428.0,0,0,414.2466666666666,414.2466666666666
AK-47 | Case Hardened (Field-Tested),220.98666666666668,-0.0003598687582767,0.0406704901428718,-0.0042139200295668,0,174.0,0,0,220.98666666666668,174.0
AK-47 | Case Hardened (Minimal Wear),260.06666666666666,-0.0002223507132042,0.0379917031422604,-0.003811118448791,0,201.0,0,0,260.06666666666666,201.0
AK-47 | Case Hardened (Well-Worn),187.76,0.0001801500199705,0.0413700198082304,-0.0026564393025933,0,154.0,0,0,187.76,154.0
AK-47 | Crossfade (Battle-Scarred),0.9,inf,,0.05,28,1.0,1,1,0.675,0.5649628018429763
AK-47 | Crossfade (Factory New),6.273333333333333,0.0238162734313543,0.1934300233348982,0.0296006305615246,3,6.0,0,0,6.273333333333333,5.981450835489551
AK-47 | Crossfade (Field-Tested),1.22,0.023489932885906,0.2357182925634315,0.0035542605542605,7,1.0,0,1,0.915,1.0
AK-47 | Crossfade (Minimal Wear),2.1466666666666665,0.034228187919463,0.2590681588729389,0.0223740340641088,8,2.0,1,1,1.6099999999999999,1.854675315435264
AK-47 | Crossfade (Well-Worn),1.086666666666667,0.0201342281879194,0.2242042582749561,0.0010705775705775,6,1.0,0,0,1.086666666666667,1.0
AK-47 | Elite Build (Battle-Scarred),0.2066666666666666,inf,,0.2658536585365854,23,0.0,1,1,0.15499999999999997,0.0
AK-47 | Elite Build (Factory New),8.953333333333333,0.0092826148147485,0.1254777617041338,0.0106283740496173,1,7.0,0,0,8.953333333333333,7.0
AK-47 | Elite Build (Field-Tested),1.0,0.0,0.0,0.0,0,1.0,0,0,1.0,1.0
AK-47 | Elite Build (Minimal Wear),1.8666666666666667,0.0369127516778523,0.302545282134264,0.0001039886039886,11,2.0,1,1,1.4,1.4716159951363894
AK-47 | Elite Build (Well-Worn),0.3733333333333333,inf,,0.1337037037037037,51,1.0,1,1,0.27999999999999997,0.19634931430019514
AK-47 | Emerald Pinstripe (Battle-Scarred),1.7133333333333334,0.0268456375838926,0.258538217281372,0.0008490028490028,8,1.0,1,1,1.2850000000000001,1.0
AK-47 | Emerald Pinstripe (Factory New),14.033333333333331,0.0069688827859419,0.0984475391400368,0.0091528049173574,1,12.0,0,0,14.033333333333331,12.0
